n_evals,gd_global_default
8,0.11720185417054463
16,0.11889427161285107
24,0.10285279530468754
32,0.11268916500815214
40,0.10415687676188336
48,0.1107899418162122
56,0.11762045001969522
64,0.16727787129294291
72,0.16251950802225004
80,0.15848629274701678
89,0.15391013972278025
102,0.1512959845585863
115,0.14872371491418385
128,0.15270826462995385
141,0.06257339981384154
154,0.061651335806794876
171,0.060422424672417006
188,0.0679524750023206
205,0.05852405334821886
222,0.0574583543563014
238,0.05670267688930538
265,0.0698059661955233
292,0.04171299296468856
319,0.05892987598862272
346,0.05386392006093355
352,0.052784769805236324
400,0.05728735384402467
448,0.05604598775902599
496,0.05563040460009796
544,0.05439282716057278
552,0.05369299952486269
586,0.057828127152723736
620,0.05811820071291783
654,0.055953934827094515
688,0.055672404877388004
697,0.05467994987976198
747,0.05310697699674315
797,0.050687778716284854
847,0.049722341835732535
897,0.04596398434819631
904,0.04530636853439215
949,0.03989110541424762
994,0.03866457380886714
1039,0.04201266170014631
1084,0.042862831369540375
