n_evals,sp_global
8,0.2677654752309347
16,0.14992611447664475
24,0.10218163403976598
32,0.07692307692307682
40,0.06666666666666692
48,0.05263157894736839
56,0.04347826086956512
64,0.05898439278795722
72,0.04878048780487823
80,0.03842819525055386
89,0.03448275862068984
102,0.028571428571428237
115,0.024096385542168544
128,0.02193055618304422
141,0.04347826086956529
154,0.03389830508474581
171,0.027027027027026876
188,0.02887604800311151
205,0.025974025974026163
222,0.02150537634408595
238,0.018348623853211184
265,0.020294527837358474
292,0.02898550724637682
319,0.032209470547505475
346,0.026666666666666623
352,0.024691358024691457
400,0.044242331985576186
448,0.04255319148936189
496,0.03846153846153838
544,0.03508771929824572
552,0.03125000000000015
586,0.03703703703703723
620,0.03174603174603208
654,0.02777777777777767
688,0.025974025974026184
697,0.02325581395348836
747,0.024390243902438987
797,0.021276595744681
847,0.01869158878504667
897,0.02631578947368443
904,0.024096385542168686
949,0.023255813953488472
994,0.02173913043478258
1039,0.022727272727272624
1084,0.024999999999999807
