n_evals,sp
6,0.3489481459275732
12,0.3489280268947213
18,0.34892813958326757
24,0.34892813958326757
30,0.34892813958326757
36,0.34892813958326757
42,0.3489040504142827
48,0.3489040928629084
54,0.3489040928629084
60,0.3489040928629084
66,0.3489040928629084
75,0.3486559376575474
84,0.34849973529928
93,0.34839329164711874
102,0.29692344214988065
109,0.29692344214988065
120,0.19868812367588443
131,0.24992431027069548
142,0.1940159220670143
153,0.21899120192931398
162,0.21899120192931398
179,0.21899120192931398
196,0.1781127220418188
213,0.22241615891610622
230,0.2525254005987531
238,0.2525254005987531
251,0.24901590127255913
264,0.22170292311352774
277,0.18139235471645881
290,0.18139232730712623
302,0.18139232730712623
325,0.16663609331577894
348,0.13330727691179955
371,0.1330369012501713
394,0.13303658219386444
410,0.13303658219386444
441,0.11761428070883721
472,0.12496689779702917
503,0.124965966765423
534,0.14971215333979382
548,0.14971215333979382
585,0.12971932336608064
622,0.12978601087287434
659,0.10821025493976888
696,0.10232219754260209
716,0.10232219754260209
765,0.08848409358510513
814,0.08848407166223003
863,0.09256316271683646
912,0.1110441867554139
931,0.1110441867554139
976,0.13325123160230276
1021,0.12492532518189363
1066,0.11757702735136616
1111,0.11757702735136616
1129,0.11757702735136616
1174,0.11104497542541458
1219,0.09086757778787784
1264,0.09086757778788428
1309,0.08691639533174735
